Games,CJAMESRUSE,BEISENHOWER,BRMHS,EDISON,WESTVIEW,CATLINGABEL,LUBBOCK,NASHUA,FRANKLIN,DUPONT,BARCADIA,BIOLANI,EASTLYME,SARATOGA,WAYZATA,CUPERTINO,MOUNTAINVIEW,PALO,BTEMPLECITY,BCLEMENTS,PLEASANTON,BMARYVILLE,RAY,LACES,BISMARCK,POLLESVILLE,STEVENS,NATIONFORD,FREMD,HILLSDALE,BAMERICAN,CHILLICOTHE,CENTERVILLE,ALABAMA,NORTHIDSTEM,STCROIX,LEXINGTON,DJAMESRUSE,GRANDOAKS,STUY,BASISSILICONVALLEY,CARCADIA,BLINDBERGH,MCCRACKEN,BETHLEHEM,BJAMESRUSE,TEMPLECITY,COLEGIO,IRRELEVANT,JPSTEVENS,AGLASTONBURY,TROY,PORTOLA,BBRMHS,NORTHVILLE,BTESLASTEM,HORN,AMITY,SCGSSM,MATSU,CHOATE,DBROOKLYNTECH,VENICE,GRAYSON,BLIBERTY,MORRISHILLS,LIVINGSTON,TEAMSTARS,JONASCLARKE,BDULLES,BGREENWICH,BBASISSILICONVALLEY,UNIVERSITY,MINNETONKA,IOLANI,FOSSILRIDGE,LINDBERGH,BSTUY,AHSBROWARD,ODLE,OLYMPIA,HUNTER,GLASTONBURY,CWAYZATA,BBROOKLYNTECH,AMES,BOW,BHOPKINS,CONESTOGA,LONGWOOD,SCIENCEACADEMY,CENTENNIAL,NORTHVIEW,DAVIDSON,PLANO,AAH,BEDISON,CREIGHTON,BPOOLESVILLE,BECKMAN,BRHS,BCORAL,ARCADIA,PINGPONG,QUAILVALLEY,BBLAIR,ECHHS,BDAVIDSON,WWPN,HILLCREST,MCA,CARMEL,CLEMENTS,JOHN,BLAIR,CJPSTEVENS,BROOKLYNLATIN,JAMESRUSE,INTERLAKE,MISSISSIPPI,MIRAMONTE,PALISADESCHARTER,EDWCLARK,AMERICANHERITAGE,BBUCHHOLZ,BBOW,COLLIERVILLE,BBECKMAN,MONTAVISTA,CBLAIR,BENLOE,KELLYWALSH,BTIMBERLINE,PALISADES,BNISKAYUNA,MCTM,HHR,GATLINGABLE,BILLINGS,BCUPERTINO,MSMS,MORGANTOWN,BHILLSBOROUGH,CADMIUM,REDMOND,BNCSSM,BNORTHHOLLYWOOD,CAPEELIZABETH,NCSSM,BGREENHOPE,BCANYONCREST,CBROOKLYNTECH,AMSA,FRANKLING,BINTERLAKE,WALTON,CMSJ,WESTMINSTER,MARYVILLE,CFOOTHILL,CMIDDLETON,CWWPN,CEDARFALLS,WHEATLEY,OLATHE,FALMOUTH,DINTERLAKE,BWAYZATA,SAINTFRANCIS,BAULKHAMHILLS,WHEATON,CLOVIS,RICKARDS,CRMHS,FARMINGTON,WARDE,ASFA,TESLASTEM,HURON,CBAALBANY,SCDS,HIGHLANDPARK,FOOTHILL,ABRAHAMLINCOLN,AMPF,CANTERBURY,HARKER,DULLES,PALI,CORAL,SEVENLAKES,BAMSA,BROOKFIELD,ARDSLEY,MASS,BHENRYGUNN,PEDDIE,BLEXINGTON,HARRISON,BWWPN,CAMSA,FAIRVIEW,PALY,MIDDLETON,MIRALOMA,BTSA,WAYLAND,BLUEVALLEYWEST,LADUE,LAKESIDE,JAMESLOGAN,ALTO,PRISMS,ENLOE,BFREMD,INDIANS,BWAYLAND,BLADUE,QB,TIMBERLINE,BBRHS,OKLAHOMA,BPULLMAN,BCONESTOGA,MILLHILL,HOPKINS,EASTSIDE,SHARON,BASFA,BBHBL,ROOSEVELT,WARDMELVILLE,VANNUYS,BENTONVILLE,BMIRALOMA,GATLINGABEL,CLAYTONVALLEY,BMCC,RAT,HOPKINTON,MTLEBANON,BSTANFORDONLINE,NEWTOWN,CANYONCREST,PUNAHOU,UNIPREP,BMSJ,BCENTENNIAL,PRINCETON,BDOUGHERTY,BUCHHOLZ,WOOTTON,BJPSTEVENS,BBASISPEORIA,LYNBROOK,NORTHHOLLYWOOD,RMHS,CGREENWICH,BWARDMELVILLE,BILLERICA,ROCKBRIDGE,BLYNBROOK,BASISSANANTONIO,MONTESSORI,NORTHALLEGHENY,BHBL,NISKAYUNA,CMARYVILLE,CADDO,BBROOKFIELD,HILLSBOROUGH,FAYETTEVILLE,HENRYGUNN,CSHEN,POBJFK,BOBJONES,LOSALAMOS,BNASHUA,CINTERLAKE,LANGLEY,BEDWCLARK,BNAPERVILLENORTH,AMADORVALLEY,MADISONWEST,EISENHOWER,BROCKBRIDGE,CRESTVIEWMIDDLE,GREENWICH,BSARATOGA,SOLON,MILLER,NAPERVILLENORTH,PALOALTO,BPALOALTO,BSCGSSM,BMIDDLETON,AMERICAN,ALPHAS,MSJ,MARQUETTE,BROOKLYNTECH,BVANNUYS,BASISPEORIA,CNASHUA,DOUGHERTY,COMMUNITYMIDDLESCHOOL,BROOSEVELT,BAHSBROWARD,BGLASTONBURY,STOCKDALE,BSHEN,PULLMAN,BAMADORVALLEY,BRAVO,SHEN,TJHSST,MAUI,BOSTONLATIN,JOHNADAMS,BFOOTHILL,TUPELO,NEWCANAAN,YOUNGMAGNET,ALIBERTY,GREENHOPE,BLAKESIDE,BSHARON,BWOOTTON,BMARQUETTE,STANFORDONLINE
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,1153.83,0,0,0,0,0,0,0,0,0,1217.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.38
,0,0,0,0,1112.62,0,0,0,0,0,0,0,0,0,1217.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198.7
,0,0,0,0,1112.62,0,0,0,0,0,0,0,0,0,1217.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.83,0,0,0,0,0,0,0,0,1169.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129.07,0,0,0,0,0,0,0,0,0,0,0,1200.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.03
,0,0,0,0,1112.62,0,0,0,0,0,0,0,0,0,1217.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.83,0,0,0,0,0,0,0,0,1126.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.18,0,0,0,0,0,0,0,0,0,0,0,1214.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.03
,0,0,0,0,1112.62,0,0,0,0,0,0,0,0,0,1217.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.83,0,0,0,0,0,0,0,0,1126.16,0,0,0,0,0,0,0,0,1184.63,0,0,0,0,0,0,0,0,0,0,1282.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142.35,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.58,0,0,0,0,0,0,1243.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.18,0,0,0,0,0,0,0,0,0,0,0,1214.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.03
,0,0,0,0,1112.62,0,0,0,0,0,0,0,0,0,1217.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.83,0,0,0,0,0,0,0,0,1126.16,0,0,0,0,0,0,0,0,1169.19,0,0,0,0,0,0,0,0,0,0,1282.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230.91,0,0,0,0,0,0,1171.79,0,0,1230.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1129.69,0,1242.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.66,0,0,0,0,0,0,1243.97,0,0,0,0,0,0,0,0,0,0,0,1169.23,0,0,0,1243.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.18,0,0,0,0,0,0,0,0,0,0,0,1214.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.74,0,0,0,0,0,0,0,0,0,0,1171.75,0,0,0,0,1184.03
,0,0,0,0,1112.62,0,0,0,0,0,0,0,0,0,1217.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.83,0,0,0,0,0,0,0,0,1126.16,0,0,0,0,0,0,0,0,1169.19,0,0,0,0,0,0,0,0,0,0,1282.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,1126.25,0,0,1278.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1129.69,0,1242.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.66,0,0,0,0,0,0,1243.97,0,0,0,0,0,0,0,0,0,0,0,1157.86,0,0,0,1243.43,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.18,0,0,0,0,0,0,0,0,0,0,0,1214.86,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.74,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,1184.03
,0,0,0,0,1112.62,0,0,0,0,0,0,0,0,0,1217.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.75,0,0,0,0,1154.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.83,0,0,0,0,0,0,0,0,1126.16,0,0,0,0,0,0,0,0,1169.19,0,0,0,0,0,0,0,0,0,0,1282.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.77,0,0,0,0,0,0,0,0,1274.38,0,0,0,0,0,1244.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,1126.25,0,0,1278.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1129.69,1200.08,1242.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.66,0,0,0,0,0,0,1243.97,0,0,0,0,0,0,0,0,0,0,0,1157.86,0,0,0,1243.43,0,0,0,0,0,0,0,0,0,0,0,0,1259.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.18,0,0,0,0,0,0,0,0,0,0,0,1214.86,0,0,0,0,0,1140.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.74,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,1184.03
,0,0,0,0,1105.55,0,0,0,0,0,0,0,0,0,1217.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156.75,0,0,0,0,1154.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.68,0,0,0,0,0,0,0,0,1126.16,0,0,0,0,0,0,0,0,1169.19,0,0,0,0,0,0,0,0,0,0,1282.56,0,0,0,1231.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246.69,0,0,0,0,0,0,0,0,1274.38,0,0,0,0,0,1212.51,0,0,0,1199.85,0,0,0,0,0,0,0,0,0,1216,0,0,0,0,0,0,1126.25,0,1199.84,1278.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1129.69,1185.3,1242.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184.66,0,0,0,0,0,0,1243.97,0,0,0,0,0,0,0,0,0,0,0,1157.86,0,0,0,1243.43,0,0,0,0,0,0,0,0,0,0,0,0,1274.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1164.35,0,0,1152.18,0,0,0,0,0,0,0,0,0,0,0,1214.86,0,0,0,0,0,1124.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214.74,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,1184.03
