Games,BNISKAYUNA,SEVENLAKES,BCORAL,DAVIDSON,BAMADORVALLEY,ARDSLEY,BMCC,SHARON,BBECKMAN,MSJ,EISENHOWER,JOHN,BWARDMELVILLE,ECHHS,BRHS,YOUNGMAGNET,BPALOALTO,FOOTHILL,MORRISHILLS,CUPERTINO,COMMUNITYMIDDLESCHOOL,WAYZATA,MSMS,TESLASTEM,SHEN,CSHEN,BLAIR,CHOATE,POBJFK,BTSA,SARATOGA,NATIONFORD,MARYVILLE,BASFA,CLEMENTS,CFOOTHILL,STANFORDONLINE,AHSBROWARD,LEXINGTON,BTEMPLECITY,JOHNADAMS,INTERLAKE,CEDARFALLS,BBROOKFIELD,NORTHHOLLYWOOD,HUNTER,BNCSSM,BNAPERVILLENORTH,BMSJ,AAH,SCIENCEACADEMY,UNIVERSITY,FRANKLING,WALTON,FOSSILRIDGE,RICKARDS,WWPN,PALOALTO,AMITY,LIVINGSTON,BBRMHS,CBLAIR,LADUE,BPOOLESVILLE,CREIGHTON,BOBJONES,STOCKDALE,HOPKINS,CINTERLAKE,FREMD,SAINTFRANCIS,CWAYZATA,BIOLANI,BBASISPEORIA,MCTM,MADISONWEST,JAMESLOGAN,BUCHHOLZ,OKLAHOMA,POLLESVILLE,PALI,MASS,SCDS,JAMESRUSE,GRANDOAKS,CADDO,AGLASTONBURY,HILLSBOROUGH,BLYNBROOK,SOLON,BASISSILICONVALLEY,BROOSEVELT,LINDBERGH,BSCGSSM,LONGWOOD,HIGHLANDPARK,AMERICAN,BOW,MIRAMONTE,HARRISON,CAPEELIZABETH,NISKAYUNA,BCANYONCREST,TROY,EASTSIDE,LANGLEY,GATLINGABEL,BLAKESIDE,WHEATLEY,ASFA,NORTHALLEGHENY,MIDDLETON,BHENRYGUNN,MISSISSIPPI,TJHSST,BBUCHHOLZ,CARMEL,AMADORVALLEY,LYNBROOK,OLYMPIA,BMARYVILLE,TUPELO,MORGANTOWN,CNASHUA,MINNETONKA,JPSTEVENS,OLATHE,JONASCLARKE,BFREMD,NORTHVIEW,BENTONVILLE,AMES,GREENHOPE,RMHS,PEDDIE,BCUPERTINO,PRISMS,CBAALBANY,BMIDDLETON,BRMHS,WESTMINSTER,IRRELEVANT,MILLHILL,HHR,TEMPLECITY,LOSALAMOS,BBLAIR,NAPERVILLENORTH,PULLMAN,CLOVIS,TIMBERLINE,RAY,GREENWICH,NCSSM,BLADUE,CRESTVIEWMIDDLE,PALY,VENICE,CATLINGABEL,ODLE,MCA,BENLOE,BEDISON,EASTLYME,BDULLES,ABRAHAMLINCOLN,BROOKLYNTECH,BINTERLAKE,CMIDDLETON,QUAILVALLEY,ROOSEVELT,WESTVIEW,CANYONCREST,GLASTONBURY,BRAVO,PALO,BILLINGS,PALISADESCHARTER,STUY,MATSU,PRINCETON,BJPSTEVENS,ENLOE,NEWCANAAN,NORTHVILLE,CAMSA,BCLEMENTS,BDAVIDSON,HURON,MONTAVISTA,COLEGIO,HARKER,BETHLEHEM,PORTOLA,ALABAMA,CARCADIA,CJAMESRUSE,BSHARON,FAYETTEVILLE,FRANKLIN,WARDMELVILLE,BLEXINGTON,MONTESSORI,NASHUA,DULLES,BAULKHAMHILLS,BNORTHHOLLYWOOD,BVANNUYS,BTESLASTEM,BWOOTTON,EDWCLARK,VANNUYS,BGREENHOPE,KELLYWALSH,BCENTENNIAL,MARQUETTE,NORTHIDSTEM,CWWPN,COLLIERVILLE,BSTUY,BAMSA,BSTANFORDONLINE,BSHEN,CENTENNIAL,REDMOND,EDISON,BILLERICA,BASISPEORIA,BBASISSILICONVALLEY,PUNAHOU,BROOKFIELD,BLUEVALLEYWEST,CJPSTEVENS,MILLER,BASISSANANTONIO,ARCADIA,DUPONT,LAKESIDE,SCGSSM,HILLSDALE,AMERICANHERITAGE,BAHSBROWARD,WAYLAND,GATLINGABLE,BECKMAN,NEWTOWN,IOLANI,PLEASANTON,WOOTTON,BSARATOGA,MOUNTAINVIEW,BWWPN,QB,UNIPREP,DINTERLAKE,BMIRALOMA,DOUGHERTY,BGREENWICH,BARCADIA,MIRALOMA,AHSBROWARD,MATSU,RMHS,CNASHUA,NORTHALLEGHENY,BLEXINGTON,GRAYSON,BOW,RAY,MCA,MCCRACKEN,JOHN,BRHS,CBAALBANY,MISSISSIPPI,BSARATOGA,WHEATLEY,BMIRALOMA,MILLER,BLADUE,HILLSDALE,BUCHHOLZ,AMES,BSTUY,SARATOGA,POLLESVILLE,BIOLANI,DUPONT,BMARQUETTE,CJPSTEVENS,CWAYZATA,BMCC,BROOKFIELD,CBLAIR,AMERICAN,BBASISPEORIA,KELLYWALSH,JAMESRUSE,ARCADIA,MCCRACKEN,DAVIDSON,CHILLICOTHE,INDIANS,BMIRALOMA,CATLINGABEL,GATLINGABLE,MONTAVISTA,NEWTOWN,BVANNUYS,JOHNADAMS,CAPEELIZABETH,MORGANTOWN,BTSA,CMSJ,FRANKLING,TJHSST,BROOKLYNTECH,BWAYLAND,HHR,ROOSEVELT,CJAMESRUSE,ARDSLEY,LIVINGSTON
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746.52,0,0,0,0,0,0,1308.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.54,0,0,0,0,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1794.94,0,0,0,0,0,0,1263.69,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.54,0,0,0,0,0,1469.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1794.94,0,0,0,0,0,0,1263.69,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249.41,0,0,1524.23,0,0,0,0,0,0,0,0,0,0,0,1491.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.54,0,0,0,0,0,1469.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118.39,0,0,0,0,0,0,0,1794.94,0,0,0,0,0,0,1263.69,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178.06,0,0,1524.23,0,0,0,0,0,0,0,0,0,0,0,1435.81,0,0,0,0,0,1459.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.54,0,0,1410,0,0,1469.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286.4,0,0,0,0,0,0,0,1794.94,0,0,0,0,0,0,1263.69,0,0,1200,0,0,1459.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178.06,0,0,1524.23,0,0,0,0,0,0,0,0,0,0,0,1435.81,0,0,0,0,0,1708.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.54,0,0,1137.08,0,0,1469.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286.4,0,0,0,0,0,0,0,1794.94,0,0,0,0,0,0,1263.69,0,0,1200,0,0,1644.16,0,0,1175.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178.06,0,0,1524.23,0,0,0,0,0,0,0,0,0,0,0,1435.81,0,0,1520.31,0,0,1708.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152.54,0,0,1137.08,0,0,1469.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686.64,1286.4,0,0,0,0,0,0,0,1794.94,0,0,0,0,0,0,1263.69,0,0,1200,0,0,1644.16,0,0,1175.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100.14,0,0,1318.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249.41,0,0,0,0,0,0,0,0,0,0,0,0,1857.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.88,0,0,0,0,0,1299.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459.41,0,1178.06,0,0,1524.23,0,0,0,0,0,0,0,0,0,0,0,1435.81,0,0,1529.43,0,0,1708.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1459.41,1152.54,0,0,1137.08,0,0,1469.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697.95,1286.4,0,0,0,0,0,0,0,1794.94,0,0,0,0,0,0,1263.69,0,0,1200,0,0,1644.16,0,0,1175.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100.14,0,0,1318.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0,1427.96,0,0,0,0,0,0,0,0,0,0,0,0,1857.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.88,0,0,0,0,0,1357.33,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1396.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1445.31,0,1178.06,0,0,1524.23,0,0,0,0,0,0,0,0,0,0,0,1435.81,0,0,1529.43,0,0,1708.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1782.29,1152.54,0,0,1137.08,0,0,1469.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697.95,1286.4,0,0,0,0,0,0,0,1794.94,0,0,0,0,0,0,1263.69,0,0,1200,0,0,1644.16,0,0,1175.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100.14,0,0,1318.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,0,0,1427.96,0,0,0,0,0,0,0,0,0,0,0,0,1857.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.88,0,0,0,0,0,1357.33,0,0,0,0,0,0,0,0,1260.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
