Games,LANGLEY,AMADORVALLEY,CREIGHTON,SCGSSM,BASISSANANTONIO,BNCSSM,CARMEL,BGREENHOPE,PALISADESCHARTER,FOSSILRIDGE,CAPEELIZABETH,SARATOGA,QB,UNIPREP,BAMSA,NEWCANAAN,BMSJ,DAVIDSON,DINTERLAKE,AMERICAN,KELLYWALSH,ALABAMA,WESTMINSTER,PORTOLA,BLUEVALLEYWEST,WESTVIEW,BAULKHAMHILLS,BHENRYGUNN,BETHLEHEM,HARRISON,BAMADORVALLEY,DOUGHERTY,BASISSILICONVALLEY,NORTHVIEW,VENICE,BDULLES,CADDO,BAHSBROWARD,ECHHS,BMIRALOMA,PALOALTO,CEDARFALLS,BRHS,AMES,CAMSA,BLAIR,LYNBROOK,NEWTOWN,NATIONFORD,DULLES,BENLOE,BLEXINGTON,RAY,BLADUE,CWWPN,EDWCLARK,BOBJONES,WHEATLEY,BNORTHHOLLYWOOD,CUPERTINO,NORTHALLEGHENY,WOOTTON,BOW,BMCC,SOLON,BLYNBROOK,MONTAVISTA,EASTLYME,RMHS,ABRAHAMLINCOLN,BPALOALTO,BSHARON,HUNTER,STANFORDONLINE,TJHSST,STUY,WWPN,BIOLANI,CRESTVIEWMIDDLE,CFOOTHILL,PLEASANTON,MONTESSORI,ENLOE,BARCADIA,GATLINGABEL,BSARATOGA,AHSBROWARD,FREMD,BSTANFORDONLINE,NORTHVILLE,FAYETTEVILLE,BRAVO,ARCADIA,BRMHS,PRISMS,TEMPLECITY,BWARDMELVILLE,ASFA,TIMBERLINE,PULLMAN,BROOKLYNTECH,DUPONT,BMIDDLETON,SCDS,PEDDIE,TROY,HIGHLANDPARK,BINTERLAKE,MADISONWEST,BVANNUYS,TESLASTEM,BCANYONCREST,BEDISON,CBAALBANY,FRANKLIN,BGREENWICH,BILLINGS,CARCADIA,BBASISPEORIA,CSHEN,MILLER,JOHN,MATSU,MSMS,CNASHUA,COMMUNITYMIDDLESCHOOL,BWWPN,UNIVERSITY,BMARYVILLE,MISSISSIPPI,JAMESLOGAN,JONASCLARKE,MSJ,SEVENLAKES,AMITY,OLATHE,REDMOND,LIVINGSTON,CATLINGABEL,BCUPERTINO,BCORAL,BWOOTTON,LONGWOOD,MORGANTOWN,YOUNGMAGNET,CANYONCREST,BLAKESIDE,GREENWICH,AGLASTONBURY,PALI,BBLAIR,MCA,WAYZATA,MINNETONKA,ODLE,IOLANI,WALTON,CBLAIR,JOHNADAMS,BTESLASTEM,PUNAHOU,CENTENNIAL,INTERLAKE,NCSSM,NISKAYUNA,BFREMD,EISENHOWER,BASISPEORIA,NASHUA,BCENTENNIAL,BENTONVILLE,POBJFK,JPSTEVENS,MORRISHILLS,ROOSEVELT,AMERICANHERITAGE,OKLAHOMA,CLEMENTS,BASFA,TUPELO,HILLSDALE,EDISON,STCROIX,NORTHHOLLYWOOD,BTEMPLECITY,CLOVIS,BTSA,WAYLAND,CHOATE,BSHEN,RICKARDS,FOOTHILL,BPOOLESVILLE,GATLINGABLE,QUAILVALLEY,SAINTFRANCIS,BCLEMENTS,VANNUYS,BDAVIDSON,PALO,POLLESVILLE,SHARON,SHEN,HHR,WARDMELVILLE,BROOSEVELT,BUCHHOLZ,CENTERVILLE,MILLHILL,NAPERVILLENORTH,EASTSIDE,SCIENCEACADEMY,LAKESIDE,COLLIERVILLE,STOCKDALE,BNAPERVILLENORTH,IRRELEVANT,AAH,HILLSBOROUGH,HURON,MARQUETTE,MASS,BROOKFIELD,BILLERICA,PALY,MCTM,FRANKLING,BSCGSSM,MIRAMONTE,LOSALAMOS,HARKER,MIDDLETON,PRINCETON,GLASTONBURY,CJAMESRUSE,MOUNTAINVIEW,MIRALOMA,GRANDOAKS,BBASISSILICONVALLEY,BBECKMAN,BNISKAYUNA,COLEGIO,BBUCHHOLZ,MARYVILLE,BECKMAN,LADUE,BSTUY,JAMESRUSE,BJPSTEVENS,CWAYZATA,LINDBERGH,OLYMPIA,NORTHIDSTEM,LEXINGTON,ARDSLEY,CINTERLAKE,CMIDDLETON,GREENHOPE,CJPSTEVENS,BBRMHS,AHSBROWARD,MATSU,RMHS,CNASHUA,NORTHALLEGHENY,BLEXINGTON,GRAYSON,BOW,RAY,MCA,MCCRACKEN,JOHN,BRHS,CBAALBANY,MISSISSIPPI,BSARATOGA,WHEATLEY,BMIRALOMA,MILLER,BLADUE,HILLSDALE,BUCHHOLZ,AMES,BSTUY,SARATOGA,POLLESVILLE,BIOLANI,DUPONT,BMARQUETTE,CJPSTEVENS,CWAYZATA,BMCC,BROOKFIELD,CBLAIR,AMERICAN,BBASISPEORIA,KELLYWALSH,JAMESRUSE,ARCADIA,MCCRACKEN,DAVIDSON,CHILLICOTHE,INDIANS,BMIRALOMA,CATLINGABEL,GATLINGABLE,MONTAVISTA,NEWTOWN,BVANNUYS,JOHNADAMS,CAPEELIZABETH,MORGANTOWN,BTSA,CMSJ,FRANKLING,TJHSST,BROOKLYNTECH,BWAYLAND,HHR,ROOSEVELT,CJAMESRUSE,ARDSLEY,LIVINGSTON
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1195.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,1437.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,1120.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,1437.34,0,1550.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,1120.07,0,0,0,0,0,0,0,0,0,0,0,1257.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422.79,0,0,0,1105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,1437.34,0,1664.08,0,0,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,1120.07,0,0,0,0,0,0,0,0,0,0,0,1211.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389.38,0,0,0,1224.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,1437.34,0,1664.08,0,0,0,0,0,0,0,1193.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,1120.07,0,0,0,0,0,0,0,0,0,0,0,1211.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153.94,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389.38,0,0,0,1224.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.72,0,0,1149.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451.6,0,1428.5,0,1437.34,0,1664.08,0,0,0,0,0,0,0,1193.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,1120.07,0,0,0,0,0,0,0,0,0,0,0,1211.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403.9,1502.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153.94,0,0,0,0,0,1257.99,1391.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389.38,0,0,0,1224.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.88,0,0,0,0,0,1299.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.72,0,0,1149.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490.2,0,1428.5,0,1437.34,0,1664.08,0,0,0,0,0,0,0,1193.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,1120.07,0,0,0,0,0,0,0,0,0,0,0,1211.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385.99,0,0,0,0,0,0,0,0,0,1422.26,1502.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,1385.99,0,0,0,0,0,0,0,0,1328,0,0,0,0,1153.94,0,0,0,0,0,1403.74,1391.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389.38,0,0,0,1224.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.88,0,0,0,0,0,1357.33,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1165.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.72,0,0,1149.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490.2,0,1428.5,0,1437.34,0,1664.08,0,0,0,0,0,0,0,1193.54,0,0,0,0,0,1317.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,1120.07,0,0,0,0,0,0,0,0,0,0,0,1211.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412.84,0,0,0,0,0,0,0,0,0,1422.26,1502.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,1599.25,0,0,0,0,0,0,0,0,1328,0,0,0,0,1153.94,0,0,0,0,0,1403.74,1391.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389.38,0,0,0,1224.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.88,0,0,0,0,0,1357.33,0,0,0,0,0,0,0,0,1260.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
