Games,BWAYLAND,MARYVILLE,BROOKLYNTECH,BBLAIR,BASISSANANTONIO,NORTHALLEGHENY,JAMESLOGAN,BIOLANI,STUY,CHILLICOTHE,BNAPERVILLENORTH,DUPONT,TEMPLECITY,BLIBERTY,LUBBOCK,NORTHVIEW,NORTHIDSTEM,BROOKFIELD,MSMS,BSTANFORDONLINE,PULLMAN,BTEMPLECITY,BGREENHOPE,BLAIR,HURON,HUNTER,BMARYVILLE,JOHNADAMS,FAIRVIEW,AMITY,GATLINGABEL,CSHEN,SCGSSM,BNORTHHOLLYWOOD,CENTERVILLE,BFREMD,ALTO,FRANKLIN,BMIDDLETON,WOOTTON,HORN,MATSU,BBROOKLYNTECH,PALISADESCHARTER,EISENHOWER,SHEN,BEISENHOWER,LYNBROOK,CENTENNIAL,CJAMESRUSE,ARDSLEY,CBROOKLYNTECH,OKLAHOMA,BBOW,BARCADIA,BAMERICAN,MILLER,MIDDLETON,BBHBL,REDMOND,INDIANS,MARQUETTE,BILLERICA,STEVENS,SARATOGA,KELLYWALSH,WWPN,BAMADORVALLEY,CADMIUM,BEDISON,BOW,WARDMELVILLE,NISKAYUNA,EASTSIDE,VANNUYS,CBAALBANY,UNIPREP,EDWCLARK,BPALOALTO,GREENWICH,DINTERLAKE,PALISADES,CORAL,BDOUGHERTY,HOPKINS,CRESTVIEWMIDDLE,FOSSILRIDGE,PRISMS,GRAYSON,BECKMAN,RMHS,BDULLES,INTERLAKE,ENLOE,WALTON,HENRYGUNN,ALPHAS,LEXINGTON,IOLANI,CINTERLAKE,CADDO,BLYNBROOK,BFOOTHILL,BCUPERTINO,BASFA,BWOOTTON,PORTOLA,QUAILVALLEY,CLOVIS,BROOSEVELT,MIRAMONTE,MISSISSIPPI,AMERICAN,LOSALAMOS,BCORAL,BHENRYGUNN,CWAYZATA,BLINDBERGH,SCIENCEACADEMY,GATLINGABLE,BPULLMAN,COLEGIO,BUCHHOLZ,ARCADIA,AMES,EDISON,BRAVO,MCTM,BSTUY,AMPF,CGREENWICH,LONGWOOD,BLEXINGTON,AGLASTONBURY,HARKER,IRRELEVANT,FREMD,WESTMINSTER,FOOTHILL,PLEASANTON,TJHSST,BSCGSSM,BSHEN,BJAMESRUSE,TIMBERLINE,EASTLYME,MORRISHILLS,BLUEVALLEYWEST,STOCKDALE,PALO,HILLSDALE,CEDARFALLS,CREIGHTON,HILLCREST,WARDE,SEVENLAKES,WHEATLEY,CANTERBURY,BWWPN,BHBL,MTLEBANON,ALIBERTY,BBROOKFIELD,CRMHS,BASISPEORIA,BMCC,LADUE,CONESTOGA,OLYMPIA,JPSTEVENS,BOBJONES,TUPELO,CARCADIA,NEWCANAAN,MORGANTOWN,JONASCLARKE,BPOOLESVILLE,OLATHE,CMIDDLETON,RAT,MASS,BRHS,CATLINGABEL,CARMEL,MIRALOMA,VENICE,CMARYVILLE,MCA,TESLASTEM,BISMARCK,SOLON,NEWTOWN,BBECKMAN,BVANNUYS,GREENHOPE,PLANO,BHILLSBOROUGH,CUPERTINO,STANFORDONLINE,TROY,MINNETONKA,MADISONWEST,ABRAHAMLINCOLN,DOUGHERTY,GRANDOAKS,WAYLAND,FARMINGTON,BETHLEHEM,ODLE,CAPEELIZABETH,BNCSSM,CHOATE,STCROIX,ROOSEVELT,PALY,BHOPKINS,QB,BCONESTOGA,BMSJ,BTIMBERLINE,CAMSA,BWAYZATA,BBUCHHOLZ,CBLAIR,WAYZATA,BCANYONCREST,BBRMHS,LANGLEY,BAMSA,FALMOUTH,NATIONFORD,SAINTFRANCIS,BROCKBRIDGE,LIVINGSTON,BBASISSILICONVALLEY,HARRISON,BILLINGS,HOPKINTON,BEDWCLARK,MAUI,NORTHHOLLYWOOD,FAYETTEVILLE,NORTHVILLE,DJAMESRUSE,COLLIERVILLE,PRINCETON,CNASHUA,BTSA,JAMESRUSE,BENTONVILLE,CWWPN,MONTESSORI,BCLEMENTS,WESTVIEW,AHSBROWARD,AMADORVALLEY,JOHN,MCCRACKEN,BWARDMELVILLE,PUNAHOU,POLLESVILLE,BGREENWICH,MONTAVISTA,PINGPONG,BBRHS,BINTERLAKE,SHARON,NAPERVILLENORTH,BSHARON,BMARQUETTE,ASFA,ECHHS,PALI,CJPSTEVENS,BNISKAYUNA,HIGHLANDPARK,CANYONCREST,LINDBERGH,POBJFK,BAHSBROWARD,BTESLASTEM,SCDS,CFOOTHILL,ROCKBRIDGE,MILLHILL,NCSSM,COMMUNITYMIDDLESCHOOL,UNIVERSITY,MSJ,GLASTONBURY,HHR,RICKARDS,BLADUE,DAVIDSON,BBASISPEORIA,AAH,BCENTENNIAL,BDAVIDSON,BENLOE,YOUNGMAGNET,BGLASTONBURY,HILLSBOROUGH,BRMHS,AMERICANHERITAGE,BSARATOGA,CLEMENTS,LAKESIDE,BMIRALOMA,DBROOKLYNTECH,NASHUA,TEAMSTARS,PEDDIE,CMSJ,BAULKHAMHILLS,FRANKLING,BLAKESIDE,MOUNTAINVIEW,RAY,PALOALTO,DULLES,BASISSILICONVALLEY,ALABAMA,BJPSTEVENS
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136.33,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,1226.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.52,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.93,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,1226.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.52,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.93,0,0,1108.87,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.71,0,0,0,0,0,0,0,0,1227.12,0,0,1281.04,0,0,1149.71,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,1226.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.52,0,0,0,0,0,0,0,0,1314.28,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.87,1278.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.93,0,0,1108.87,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,1168,0,0,1222.24,0,0,1281.04,0,0,1181.66,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,1259.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,1226.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.52,0,0,0,0,0,0,0,0,1345.96,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.87,1278.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.93,0,0,1108.87,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,0,1218.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,1122.02,0,0,1222.24,0,0,1281.04,0,0,1181.66,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.43,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,1337.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,1226.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.52,0,0,0,0,0,0,0,0,1345.96,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.49,0,0,0,1140.87,1278.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,1241.38,0,1228.93,0,0,1108.87,0,0,0,0,1227.12,0,0,1338.04,0,0,0,0,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,0,1218.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,1122.02,0,0,1222.24,0,0,1281.04,0,0,1181.66,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.43,0,0,0,0,0,0,1167.62,0,0,0,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,1337.09,0,0,0,0,0,0,0,0,0,0,0,0,1195.49,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,1226.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.52,0,0,0,0,0,0,0,0,1345.96,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,1232,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.12,0,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1278.94,0,0,0,1140.87,1278.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,1286.33,0,1228.93,0,0,1108.87,0,0,0,0,1282.08,0,0,1338.04,0,0,0,0,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,0,1218.94,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,1122.02,0,0,1222.24,0,0,1281.04,0,0,1181.66,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.43,0,0,0,0,0,0,1117.36,0,0,1259.12,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,1337.09,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,1226.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.52,0,0,0,0,0,0,0,0,1345.96,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,1168.02,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,1122.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337.47,0,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,1278.94,0,0,0,1140.87,1278.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,1286.33,0,1228.93,0,0,1108.87,0,0,0,0,1282.08,0,0,1338.04,0,0,0,0,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,0,1218.94,0,0,0,0,0,0,0,0,1231.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,1122.02,0,0,1222.24,0,0,1281.04,0,0,1181.66,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.43,0,0,0,0,0,0,1117.36,0,0,1282.39,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,1337.09,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,1226.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.52,0,0,0,0,0,0,0,0,1345.96,0,0,0
