Games,BMIRALOMA,PALY,PRINCETON,FOSSILRIDGE,BSARATOGA,BENTONVILLE,LEXINGTON,STUY,PRISMS,BNISKAYUNA,BASISSILICONVALLEY,CMIDDLETON,SOLON,BAMADORVALLEY,TEMPLECITY,BAMSA,NCSSM,BBRMHS,WARDMELVILLE,TESLASTEM,BWWPN,BMIDDLETON,BINTERLAKE,BLUEVALLEYWEST,JAMESLOGAN,HIGHLANDPARK,RMHS,BRAVO,BNCSSM,GRANDOAKS,RAY,DJAMESRUSE,BCUPERTINO,BCLEMENTS,STANFORDONLINE,BJAMESRUSE,HARRISON,TJHSST,BEDISON,FAYETTEVILLE,MARYVILLE,CFOOTHILL,SAINTFRANCIS,NASHUA,SEVENLAKES,MSJ,NORTHALLEGHENY,CATLINGABEL,BCORAL,LOSALAMOS,BSTANFORDONLINE,BPALOALTO,BPOOLESVILLE,PALISADES,BAULKHAMHILLS,CARCADIA,IRRELEVANT,PORTOLA,ALABAMA,CEDARFALLS,JOHN,WHEATLEY,BNORTHHOLLYWOOD,HUNTER,BDULLES,QUAILVALLEY,NORTHVIEW,MIRALOMA,BUCHHOLZ,CADDO,ABRAHAMLINCOLN,EDWCLARK,BLAKESIDE,BHENRYGUNN,CINTERLAKE,MIDDLETON,BBUCHHOLZ,LADUE,BSTUY,BILLINGS,PEDDIE,CENTERVILLE,BMARYVILLE,BASISSANANTONIO,CWAYZATA,DULLES,LAKESIDE,BRMHS,ENLOE,MOUNTAINVIEW,NORTHIDSTEM,BROOKLYNTECH,CREIGHTON,MINNETONKA,AAH,SCIENCEACADEMY,CHOATE,HURON,OLATHE,HILLSDALE,MILLHILL,LONGWOOD,OKLAHOMA,BOBJONES,PALO,CRESTVIEWMIDDLE,CLEMENTS,NATIONFORD,BASISPEORIA,PUNAHOU,JPSTEVENS,COLEGIO,MATSU,BMSJ,BBLAIR,CMSJ,CENTENNIAL,TROY,DAVIDSON,BOW,EASTLYME,BDAVIDSON,LANGLEY,PALISADESCHARTER,WESTMINSTER,HARKER,BSCGSSM,FRANKLING,NISKAYUNA,ODLE,JAMESRUSE,CBLAIR,BGREENHOPE,CBAALBANY,MCA,PULLMAN,CJPSTEVENS,NEWTOWN,BVANNUYS,BTEMPLECITY,GLASTONBURY,MORRISHILLS,MADISONWEST,AMERICAN,LINDBERGH,BBASISSILICONVALLEY,FRANKLIN,CUPERTINO,BARCADIA,PALI,MILLER,POLLESVILLE,IOLANI,DOUGHERTY,NORTHVILLE,EASTSIDE,NAPERVILLENORTH,MASS,BILLERICA,BLEXINGTON,CLOVIS,WWPN,BASFA,DUPONT,CARMEL,SCGSSM,BBECKMAN,CAMSA,HILLSBOROUGH,INTERLAKE,ARCADIA,LYNBROOK,BBASISPEORIA,CWWPN,TUPELO,POBJFK,PLEASANTON,BNAPERVILLENORTH,MONTESSORI,KELLYWALSH,BMCC,AMERICANHERITAGE,BLAIR,BLADUE,UNIVERSITY,BLYNBROOK,JONASCLARKE,GREENWICH,WESTVIEW,SHARON,BTSA,CANYONCREST,AMES,CJAMESRUSE,REDMOND,BWOOTTON,JOHNADAMS,BCANYONCREST,GATLINGABLE,NEWCANAAN,BENLOE,AGLASTONBURY,AMADORVALLEY,CNASHUA,SCDS,BROOSEVELT,COLLIERVILLE,MSMS,BGREENWICH,EDISON,ROOSEVELT,BSHEN,SHEN,BSHARON,GREENHOPE,BRHS,BTESLASTEM,ASFA,WAYZATA,OLYMPIA,MCTM,PALOALTO,RICKARDS,MONTAVISTA,VANNUYS,CAPEELIZABETH,GATLINGABEL,FREMD,AMITY,DINTERLAKE,LIVINGSTON,BJPSTEVENS,ECHHS,BAHSBROWARD,EISENHOWER,AHSBROWARD,FOOTHILL,VENICE,STOCKDALE,MARQUETTE,BIOLANI,ARDSLEY,SARATOGA,WAYLAND,MIRAMONTE,NORTHHOLLYWOOD,QB,HHR,UNIPREP,BCENTENNIAL,WOOTTON,YOUNGMAGNET,MISSISSIPPI,BWARDMELVILLE,BROOKFIELD,MORGANTOWN,BETHLEHEM,CSHEN,BFREMD,COMMUNITYMIDDLESCHOOL,WALTON,TIMBERLINE,BECKMAN,BDULLES,GRAYSON,VENICE,CJAMESRUSE,BETHLEHEM,CARMEL,MIRALOMA,ARCADIA,AMERICAN,CEDARFALLS,MARYVILLE,BJAMESRUSE,CBROOKLYNTECH,HURON,UNIVERSITY,MADISONWEST,PEDDIE,CJPSTEVENS,CRESTVIEWMIDDLE,MSMS,GLASTONBURY,PALY,FOOTHILL,BHOPKINS,CHOATE,CENTERVILLE,GREENHOPE,EDISON,COLLIERVILLE,BBRMHS,IOLANI,CMARYVILLE,PALISADES,BLINDBERGH,CBLAIR
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.6,0,1535.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.67,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.67,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,1437.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1422.79,0,0,0,0,0,0,0,0,0,0,0,0,1257.99,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,1550.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.67,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,1437.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121.75,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,1389.38,0,0,0,0,0,0,0,0,0,1385.99,0,0,1211.9,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,1664.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.67,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,1437.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.07,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185.03,0,0,0,0,0,0,0,0
,0,1153.94,0,0,0,0,1389.38,0,0,0,0,0,0,0,0,0,1502.05,0,0,1211.9,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,1664.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.67,0,1610.72,0,0,0,0,0,0,0,0,0,0,0,0,1437.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.07,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158.2,0,0,0,0,1185.03,0,0,0,0,0,0,0,0
,0,1153.94,0,0,0,0,1389.38,0,0,0,0,0,0,0,0,0,1502.05,0,0,1211.9,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,1664.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.67,0,1610.72,1257.99,0,0,0,0,0,0,0,0,0,0,0,1437.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,1403.9,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,0,0,0,0,1149.78,0,0,0,1451.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.07,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158.2,0,0,0,0,1185.03,0,0,0,0,0,0,0,0
,0,1153.94,0,0,0,0,1389.38,0,0,0,0,0,0,0,0,0,1502.05,0,0,1211.9,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,1664.08,0,0,0,0,0,0,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.67,0,1610.72,1403.74,0,0,0,0,0,0,0,0,0,0,0,1437.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385.99,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,1422.26,0,0,0,0,0,0,0,0,0,0,0,0,1428.5,0,0,0,0,0,1149.78,0,0,0,1490.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224.75,0,0,0,1385.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.07,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,0,0,0,0,1158.2,0,0,0,0,1185.03,0,0,0,0,0,0,0,0
,0,1153.94,0,0,0,0,1389.38,0,0,0,0,0,0,0,0,0,1502.05,0,0,1211.9,0,0,0,0,0,0,0,1279.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1391.05,0,0,0,0,0,0,0,0,0,1664.08,0,0,0,0,0,0,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165.67,0,1610.72,1403.74,0,0,0,0,0,0,0,0,0,0,0,1437.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599.25,1255.02,0,0,0,0,0,0,0,0,0,0,0,0,1422.26,0,0,0,0,0,0,0,0,0,0,1317.11,0,1428.5,0,0,0,0,0,1149.78,0,0,0,1490.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224.75,0,0,0,1412.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1579.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120.07,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1136.27,0,0,0,0,0,0,0,1158.2,0,0,0,0,1185.03,0,0,0,0,0,0,0,0
