Games,STUY,MONTESSORI,CEDARFALLS,HILLSBOROUGH,MASS,NORTHVIEW,BHENRYGUNN,BSHARON,UNIPREP,LYNBROOK,BASISPEORIA,FALMOUTH,DINTERLAKE,OLATHE,GREENHOPE,BSTUY,ALPHAS,BMSJ,BEDWCLARK,BMCC,BILLERICA,HILLCREST,BBHBL,EDISON,BFOOTHILL,NASHUA,FOOTHILL,BMARYVILLE,POBJFK,BBLAIR,BINTERLAKE,BWAYZATA,SOLON,MINNETONKA,ALTO,PALISADESCHARTER,MISSISSIPPI,BPULLMAN,BDAVIDSON,CANTERBURY,BTIMBERLINE,ROCKBRIDGE,OLYMPIA,BASISSILICONVALLEY,SCGSSM,STEVENS,PRISMS,BLEXINGTON,CARMEL,BPOOLESVILLE,EASTSIDE,BIOLANI,BBOW,BEISENHOWER,BASISSANANTONIO,CHOATE,AHSBROWARD,AMES,NCSSM,BOBJONES,FOSSILRIDGE,PLEASANTON,AMERICANHERITAGE,BBRHS,BCUPERTINO,CGREENWICH,BAMADORVALLEY,ODLE,CNASHUA,CLOVIS,COLLIERVILLE,STCROIX,CMARYVILLE,WARDE,ABRAHAMLINCOLN,PORTOLA,CUPERTINO,WOOTTON,BSTANFORDONLINE,CFOOTHILL,CWAYZATA,BJPSTEVENS,BFREMD,DBROOKLYNTECH,CADMIUM,LOSALAMOS,BPALOALTO,BDULLES,MIRAMONTE,HARKER,JAMESLOGAN,BSARATOGA,UNIVERSITY,CRESTVIEWMIDDLE,BAHSBROWARD,BAMSA,BLYNBROOK,BRHS,BROOSEVELT,BBROOKFIELD,HENRYGUNN,DULLES,CBROOKLYNTECH,HUNTER,BBECKMAN,BETHLEHEM,BCONESTOGA,DUPONT,CJPSTEVENS,CLEMENTS,QB,WHEATLEY,BLIBERTY,PULLMAN,REDMOND,BDOUGHERTY,HILLSDALE,BTESLASTEM,BASFA,MADISONWEST,BARCADIA,BBUCHHOLZ,RAT,ALABAMA,SCIENCEACADEMY,AMADORVALLEY,CANYONCREST,MARYVILLE,BENLOE,VANNUYS,BRAVO,MATSU,JPSTEVENS,QUAILVALLEY,MILLHILL,STOCKDALE,BROCKBRIDGE,PALISADES,PEDDIE,CSHEN,COMMUNITYMIDDLESCHOOL,IOLANI,FREMD,PALO,MCA,IRRELEVANT,CMIDDLETON,BBROOKLYNTECH,BGLASTONBURY,CBAALBANY,BEDISON,POLLESVILLE,BGREENWICH,NORTHVILLE,ASFA,LANGLEY,HORN,AMPF,BROOKFIELD,BCENTENNIAL,LAKESIDE,CREIGHTON,BECKMAN,CONESTOGA,SEVENLAKES,BGREENHOPE,OKLAHOMA,BISMARCK,SAINTFRANCIS,BBRMHS,ECHHS,BLUEVALLEYWEST,MSJ,GREENWICH,CINTERLAKE,CARCADIA,WALTON,BAMERICAN,BLAIR,AGLASTONBURY,PALOALTO,BMIDDLETON,CRMHS,NORTHHOLLYWOOD,MOUNTAINVIEW,CENTENNIAL,LEXINGTON,WESTVIEW,NISKAYUNA,SHEN,AMERICAN,AAH,WAYLAND,LADUE,HOPKINS,BSCGSSM,MORRISHILLS,SCDS,RMHS,INTERLAKE,BHILLSBOROUGH,MAUI,HURON,MSMS,PRINCETON,NATIONFORD,ALIBERTY,CADDO,SHARON,FRANKLIN,BNISKAYUNA,BRMHS,JAMESRUSE,BJAMESRUSE,BTEMPLECITY,BENTONVILLE,BNCSSM,BLAKESIDE,BNORTHHOLLYWOOD,CAMSA,GRANDOAKS,DOUGHERTY,BCLEMENTS,TESLASTEM,WESTMINSTER,ENLOE,TEAMSTARS,JONASCLARKE,BMARQUETTE,TROY,MARQUETTE,EISENHOWER,CORAL,LONGWOOD,MIRALOMA,VENICE,BWWPN,PLANO,BBASISSILICONVALLEY,BWOOTTON,BILLINGS,LINDBERGH,CWWPN,BUCHHOLZ,BHBL,MCTM,HARRISON,BWARDMELVILLE,YOUNGMAGNET,WWPN,BCORAL,GATLINGABEL,FAIRVIEW,LUBBOCK,GLASTONBURY,FARMINGTON,RICKARDS,COLEGIO,BNAPERVILLENORTH,WARDMELVILLE,DJAMESRUSE,CBLAIR,NORTHIDSTEM,MIDDLETON,TUPELO,NAPERVILLENORTH,BHOPKINS,MTLEBANON,TIMBERLINE,BBASISPEORIA,PUNAHOU,BCANYONCREST,BAULKHAMHILLS,NEWCANAAN,CENTERVILLE,BLADUE,AMITY,BOW,BSHEN,PINGPONG,NORTHALLEGHENY,PALI,SARATOGA,EDWCLARK,JOHN,STANFORDONLINE,MILLER,EASTLYME,HIGHLANDPARK,BLINDBERGH,GRAYSON,FAYETTEVILLE,WAYZATA,PALY,HOPKINTON,KELLYWALSH,TEMPLECITY,RAY,ARCADIA,MCCRACKEN,DAVIDSON,CHILLICOTHE,INDIANS,BMIRALOMA,CATLINGABEL,GATLINGABLE,MONTAVISTA,NEWTOWN,BVANNUYS,JOHNADAMS,CAPEELIZABETH,MORGANTOWN,BTSA,CMSJ,FRANKLING,TJHSST,BROOKLYNTECH,BWAYLAND,HHR,ROOSEVELT,CJAMESRUSE,ARDSLEY,LIVINGSTON
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291.5,0,1136.33,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1254.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,1113.52,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1264,0,1226.55,0,0,1200,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,1113.52,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1277.89,0,1226.55,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117.71,0,0,0,0,0,0,0,1228.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,0,0,0,1282.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227.12,1338.04,0,1113.52,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1277.89,0,1226.55,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.66,0,1140.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,0,0,1228.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1259.12,0,0,1278.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.24,1338.04,0,1113.52,0,0,0,0,0,0,0,0,1168,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1277.89,0,1226.55,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1140.87,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.66,0,1140.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,0,0,0,1218.94,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,0,0,1228.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1337.09,0,0,1278.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.24,1338.04,0,1113.52,0,0,0,0,0,0,0,0,1122.02,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1277.89,0,1226.55,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.66,0,1140.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241.38,1290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,1227.12,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,0,0,0,1218.94,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,0,0,1228.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1337.09,0,0,1278.39,1195.49,0,0,0,0,0,0,0,0,0,0,0,1259.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.24,1338.04,0,1113.52,0,0,0,0,0,0,0,0,1122.02,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1277.89,0,1226.55,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,0,0,0,0,0,0,0,0,0,0,1173.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.66,0,1140.87,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,1117.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1259.12,0,0,0,0,0,0,1286.33,1290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,1282.08,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,0,0,0,1218.94,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,0,0,1228.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,1140.87,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1337.09,0,0,1278.39,1168,0,0,0,0,0,0,1140.87,0,0,0,0,1278.94,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.24,1338.04,0,1113.52,0,0,0,0,0,0,0,0,1122.02,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1277.89,0,1226.55,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,0,0,0,0,0,0,0,0,0,1259.12,1173.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181.66,0,1140.87,0,0,1231.21,0,0,0,0,0,0,0,0,0,0,0,1117.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1337.47,0,0,0,0,0,0,1286.33,1290.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108.87,0,0,0,1282.08,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,0,0,0,1218.94,0,0,0,0,0,0,0,0,0,0,1117.08,0,0,0,0,0,0,0,1228.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.98,1122.02,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1282.29,0,0,0,0,1337.09,0,0,1278.39,1168,0,0,0,0,0,0,1140.87,0,0,0,0,1278.94,0,0,1168.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222.24,1338.04,0,1113.52,0,0,0,0,0,0,0,0,1122.02,0,1108.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,1277.89,0,1226.55,0,0,1172.75,0,0,0,0,0,0,0,0,0,0,1142.54,0,0,0,0,0,0,0,0,0,0,0,0,1282.39,1173.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1281.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
