Games,MONTESSORI,EASTSIDE,ENLOE,CLOVIS,JONASCLARKE,CHOATE,BASISPEORIA,AMES,RMHS,BROOKFIELD,BMIRALOMA,MINNETONKA,PRISMS,ARCADIA,NAPERVILLENORTH,WWPN,MSJ,BENLOE,CARMEL,BASISSANANTONIO,CBLAIR,PUNAHOU,SARATOGA,FOSSILRIDGE,DUPONT,DULLES,MIRALOMA,BLEXINGTON,DINTERLAKE,IOLANI,MSMS,LYNBROOK,NORTHHOLLYWOOD,LAKESIDE,WAYZATA,MIDDLETON,CUPERTINO,BUCHHOLZ,TESLASTEM,DAVIDSON,YOUNGMAGNET,FOOTHILL,LADUE,NCSSM,GREENHOPE,JPSTEVENS,COLLIERVILLE,BBUCHHOLZ,WESTMINSTER,SHEN,BLAIR,UNIVERSITY,NISKAYUNA,MARQUETTE,EASTLYME,CARCADIA,LEXINGTON,INTERLAKE,CENTENNIAL,GLASTONBURY,BAHSBROWARD,BASISSILICONVALLEY,WESTVIEW,PEDDIE
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,1310.07,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,1310.07,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,1309.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,1310.07,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,1337.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,1310.07,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,1337.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,1310.07,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,1337.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,1310.07,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,1337.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,1310.07,0,0,0,0,0,0,0
,0,1364.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.96,0,0,0,0,0,0,1337.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338.04,0,0,0,0,0,0,0,1310.07,0,0,0,0,0,0,0
,0,1364.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368.5,0,0,0,0,0,0,1365.54,0,1314.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.8,0,1314.04,0,0,0,0,0,1310.6,0,0,0,0,0,0,0
,0,1325.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396.34,0,0,0,0,0,0,1329.35,0,1314.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1383.7,0,1314.04,0,0,0,0,0,1375.42,0,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1346.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427.37,0,0,0,0,0,0,1386.85,0,1314.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1352.67,0,1314.04,0,0,0,0,0,1375.42,0,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1356.38,0,0,0,0,0,0,1346.4,0,1314.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,0,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1356.38,0,0,0,0,0,0,1346.4,0,1314.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,0,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1356.38,0,0,0,0,0,0,1346.4,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,0,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1356.38,0,0,0,0,0,0,1346.4,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1356.38,0,0,0,0,0,0,1399.48,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1403.16,0,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1417.54,0,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,0,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1314.94,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1417.54,0,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
,0,1319.83,0,0,0,0,0,1335.27,0,0,0,0,0,0,1356.06,0,0,0,0,0,0,0,0,0,0,1417.54,0,0,0,0,0,0,1409.31,0,1314.37,0,0,0,0,0,1309.32,0,0,0,0,0,0,0,1346.9,0,1314.04,1314.43,0,0,0,0,1440.84,1323.05,0,0,0,0,0,0
